Date: Sun Aug 30 02:13:37 2015
Focus: PF
#
#    K0      K1      K2      K3      K4      K5      K6      K7
#    A0      L       k       F       dS      Z0      d       d1
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
#
:   Alpha        Delta  : dAlp    dDel :  dA     dZ  :   A      Z  :  Stime :
|00:30:52.65 +53:40:12.1|+003.23 -079.0|+145.7 -080.1|-182.01 10.02|00:33:14|
|00:32:04.58 +73:40:06.2|-000.63 -076.1|-008.8 -076.1|-180.52 30.01|00:35:46|
|12:35:08.54 +86:20:53.5|+032.23 +077.1|-040.6 -076.7|-179.94 49.98|00:38:11|
|12:38:12.10 +66:17:44.9|+008.12 +080.9|-052.6 -080.5|-179.73 70.01|00:40:46|
|07:51:06.93 +45:45:49.8|-002.66 +090.0|-051.0 -081.2|-134.58 69.59|00:43:41|
|06:05:33.51 +56:39:37.4|-007.78 +056.7|-039.4 -080.2|-134.83 49.70|00:46:03|
|03:37:12.63 +58:36:39.2|-010.08 -010.9|-009.9 -079.4|-135.12 29.71|00:48:24|
|01:32:34.55 +50:15:37.0|-004.94 -073.4|+159.0 -083.2|-136.94 09.62|00:51:26|
|01:46:08.88 +42:52:51.0|-008.05 -014.0|+170.1 -085.2|-089.76 09.43|00:54:28|
|03:28:32.99 +36:43:39.2|-006.02 +035.9|-002.6 -080.8|-089.56 29.50|00:56:53|
|04:51:43.49 +26:07:38.8|-003.67 +071.6|-037.3 -082.2|-089.33 49.65|00:59:18|
|06:00:16.58 +13:40:11.2|-002.14 +090.4|-049.6 -083.6|-089.56 69.49|01:01:52|
|03:55:14.79 -14:05:23.0|-000.25 +098.3|-051.5 -085.7|-044.47 69.58|01:04:47|
|03:16:12.86 +03:01:52.8|-001.18 +088.2|-038.6 -085.1|-044.36 49.62|01:07:14|
|02:35:53.87 +20:01:23.9|-003.12 +072.5|-003.5 -084.8|-044.15 29.69|01:09:42|
|01:44:26.98 +36:13:33.5|-006.39 +052.2|+184.9 -088.1|-041.82 09.57|01:12:49|
|01:12:58.16 +33:40:55.7|-002.28 +087.6|+191.8 -085.9|+003.63 09.99|01:15:59|
|01:15:51.16 +13:42:37.5|+000.04 +082.5|+001.6 -082.5|+001.34 29.94|01:18:35|
|01:18:52.88 -06:26:11.3|+001.97 +082.5|-037.3 -082.8|+000.74 50.08|01:21:09|
|23:15:10.36 +03:00:03.2|+004.54 +052.3|-040.3 -080.0|+045.74 50.29|01:29:07|
|00:00:32.24 +20:03:29.1|+003.22 +064.7|-003.6 -079.0|+046.11 30.29|01:31:36|
|00:56:31.33 +36:16:21.9|+002.54 +083.8|+182.1 -083.1|+047.81 10.36|01:34:34|
|00:40:11.31 +42:45:58.2|+006.76 +045.7|+178.5 -081.3|+090.08 10.46|01:37:28|
|23:03:17.60 +36:43:17.1|+005.69 +034.0|+002.5 -076.5|+090.40 30.39|01:39:52|
|21:45:06.80 +26:22:15.9|+005.87 +023.6|-035.6 -077.7|+090.41 50.37|01:42:15|
|20:41:00.09 +13:41:02.8|+006.33 +016.2|-052.6 -079.5|+090.52 70.47|01:44:54|
|18:34:12.94 +45:46:46.2|+008.51 +017.0|-051.6 -076.5|+135.37 70.36|01:47:47|
|20:26:11.28 +56:41:58.6|+009.79 +000.1|-038.7 -075.1|+135.17 50.26|01:50:11|
|22:59:40.78 +58:39:16.2|+009.24 -015.8|-005.0 -074.0|+135.00 30.25|01:52:36|
|01:08:27.11 +50:11:46.7|+008.50 -020.1|+167.4 -078.6|+133.37 10.33|01:55:28|
